child	parent
https://w3id.org/railsec-scope/railway#MasqueradeThreat	https://w3id.org/railsec-scope/railway#TransmissionThreat
https://w3id.org/railsec-scope/railway#NonSafetyPayload	https://w3id.org/railsec-scope/railway#RailwayPayload
https://w3id.org/railsec-scope/railway#OperationalAsset	https://w3id.org/railsec-scope/railway#RailwayAsset
https://w3id.org/railsec-scope/railway#ParticipantSetFixedFact	https://w3id.org/railsec-scope/core#AssertedFact
https://w3id.org/railsec-scope/railway#RailwayAsset	https://w3id.org/railsec-scope/core#Asset
https://w3id.org/railsec-scope/railway#RailwayInformationFlow	https://w3id.org/railsec-scope/core#InformationFlow
https://w3id.org/railsec-scope/railway#RailwayPayload	https://w3id.org/railsec-scope/core#Payload
https://w3id.org/railsec-scope/railway#RailwaySecurityZone	https://w3id.org/railsec-scope/core#Group
https://w3id.org/railsec-scope/railway#RemoteAccess	https://w3id.org/railsec-scope/core#AccessMechanism
https://w3id.org/railsec-scope/railway#RepetitionThreat	https://w3id.org/railsec-scope/railway#TransmissionThreat
https://w3id.org/railsec-scope/railway#ResequencingThreat	https://w3id.org/railsec-scope/railway#TransmissionThreat
https://w3id.org/railsec-scope/railway#SILRiskType	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/railway#SafetyCriticalAsset	https://w3id.org/railsec-scope/railway#RailwayAsset
https://w3id.org/railsec-scope/railway#SafetyIntegrityLevel	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/railway#SafetyRelatedAsset	https://w3id.org/railsec-scope/railway#RailwayAsset
https://w3id.org/railsec-scope/railway#SafetyRelatedPayload	https://w3id.org/railsec-scope/railway#RailwayPayload
https://w3id.org/railsec-scope/railway#SupplierAccess	https://w3id.org/railsec-scope/core#AccessMechanism
https://w3id.org/railsec-scope/railway#TransmissionCategory	https://w3id.org/railsec-scope/criteria#AssessmentBearingCategory
https://w3id.org/railsec-scope/railway#TransmissionThreat	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/railway#UnauditedFlow	https://w3id.org/railsec-scope/railway#VulnerableFlow
https://w3id.org/railsec-scope/railway#UnauthorisedAccessExclusionAssumption	https://w3id.org/railsec-scope/core#Assumption
https://w3id.org/railsec-scope/railway#UnsegmentedCrossBoundaryFlow	https://w3id.org/railsec-scope/railway#VulnerableFlow
https://w3id.org/railsec-scope/railway#VulnerableFlow	https://w3id.org/railsec-scope/railway#RailwayInformationFlow
https://w3id.org/railsec-scope/results#CandidateSet	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#CategoryAssignment	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#ComputationOutcome	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/results#CoverageResult	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#CriterionEvaluation	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#DependencyChain	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#DependencyChainEntry	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/results#DerivationRecord	http://www.w3.org/ns/prov#Bundle
https://w3id.org/railsec-scope/results#DerivationStep	http://www.w3.org/ns/prov#Activity
https://w3id.org/railsec-scope/results#DerivedResult	http://www.w3.org/ns/prov#Entity
https://w3id.org/railsec-scope/results#EvaluationOutcome	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/results#ExecutionEnvironment	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/results#FactorValue	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#InstanceSet	https://w3id.org/railsec-scope/criteria#VersionedArtefact
https://w3id.org/railsec-scope/results#MaterialFindingDesignation	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/results#Mechanism	http://www.w3.org/ns/prov#SoftwareAgent
https://w3id.org/railsec-scope/results#Mechanism	https://w3id.org/railsec-scope/criteria#VersionedArtefact
https://w3id.org/railsec-scope/results#OrderingEntry	http://www.w3.org/2002/07/owl#Thing
https://w3id.org/railsec-scope/results#OrderingResult	https://w3id.org/railsec-scope/criteria#VersionedArtefact
https://w3id.org/railsec-scope/results#OrderingResult	https://w3id.org/railsec-scope/results#DerivedResult
